Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1011DC;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011DD;215;115;105;40;15;100;45;15;50;20;30;115;55;30;20;10;1,9;115;-99997;-99997;-99997;-99997;-99997;-99997;115;-99997;115;20;80;90;-99997;575;20
1011DE;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011DG;135;80;50;10;10;60;45;10;40;40;20;75;35;30;-99997;10;1,8;85;-99997;-99997;-99997;-99997;-99997;-99997;85;-99997;85;70;30;-99997;15;675;-99997
1011DH;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011DJ;10;-99997;10;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;10;10;-99997;-99997;-99997;1,2;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011DK;15;5;10;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;10;10;-99997;-99997;-99997;1,5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011DL;75;50;20;-99997;-99997;15;35;20;70;20;10;45;25;25;-99997;-99997;1,6;60;-99997;-99997;-99997;-99997;-99997;-99997;60;-99997;60;80;20;-99997;10;771;-99997
1011DZ;15;-99997;15;-99997;-99997;-99997;-99997;15;90;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;20;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997
1011EA;60;30;30;5;15;10;15;15;60;30;20;40;30;-99997;-99997;5;1,5;45;20;-99997;-99997;-99997;25;-99997;-99997;-99997;45;20;80;30;5;463;10
