Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1065NK;60;25;35;-99997;-99997;-99997;20;35;60;20;20;45;30;10;-99997;-99997;1,3;55;-99997;10;-99997;-99997;-99997;-99997;-99997;45;55;-99997;100;-99997;10;345;5
1065NL;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;20;-99997;-99997
1065NM;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;15;-99997;-99997
1065NN;10;5;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;15;-99997;5
1065NP;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;20;-99997;-99997
1065NR;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1065NS;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1065RA;55;30;25;-99997;-99997;-99997;30;30;50;10;40;50;45;5;-99997;-99997;1,1;55;-99997;55;-99997;-99997;-99997;-99997;-99997;-99997;55;-99997;100;-99997;5;211;15
1065SH;30;15;15;-99997;-99997;10;-99997;15;40;-99997;50;15;5;5;-99997;-99997;1,8;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;294;-99997
1065SJ;30;15;15;-99997;-99997;10;10;10;60;20;-99997;15;5;10;-99997;-99997;1,7;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;15;-99997;299;-99997
1065SK;25;10;15;5;-99997;5;5;5;40;30;30;15;-99997;5;-99997;-99997;2,1;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;5;-99997;302;-99997
1065SL;30;15;15;-99997;-99997;15;-99997;10;50;30;30;20;10;5;-99997;-99997;1,5;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;10;-99997;305;-99997
1065SM;30;10;15;-99997;10;10;5;-99997;40;-99997;40;10;5;-99997;-99997;-99997;2,3;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;10;40;60;5;-99997;281;-99997
1065SN;45;25;20;5;10;15;10;-99997;30;20;50;25;15;-99997;-99997;-99997;1,8;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;50;60;10;-99997;268;5
1065SP;15;5;10;-99997;-99997;5;-99997;-99997;50;-99997;30;10;5;-99997;-99997;-99997;1,4;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;80;5;-99997;285;-99997
1065SR;35;20;15;-99997;-99997;20;5;5;40;40;-99997;25;15;10;-99997;-99997;1,4;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;50;50;5;-99997;275;-99997
1065ST;25;15;10;-99997;5;10;5;-99997;30;-99997;60;15;10;-99997;-99997;-99997;1,9;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;80;5;-99997;284;-99997
1065SV;45;25;20;-99997;10;15;10;-99997;30;20;50;25;15;5;-99997;-99997;1,7;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;80;10;-99997;271;10
1065SW;30;15;15;-99997;-99997;10;10;5;20;40;40;20;10;-99997;-99997;-99997;1,5;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;60;40;5;-99997;302;-99997
1065SX;30;15;15;5;5;10;-99997;10;40;20;40;15;5;-99997;-99997;-99997;1,8;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;10;-99997;295;-99997
1065SZ;25;15;15;10;-99997;10;-99997;5;50;20;30;15;10;-99997;-99997;-99997;1,8;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;10;-99997;305;-99997
1065TA;45;15;25;5;10;15;10;-99997;50;20;30;25;15;5;-99997;-99997;1,8;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;10;-99997;264;5
1065TB;35;15;20;5;-99997;10;5;10;50;40;10;20;15;-99997;-99997;5;1,7;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;10;-99997;305;-99997
1065TC;35;15;20;10;-99997;15;10;-99997;50;30;30;20;10;5;-99997;-99997;1,9;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;10;-99997;-99997;-99997
1065TD;30;10;20;-99997;-99997;10;10;10;60;20;-99997;15;5;10;-99997;-99997;1,8;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;10;-99997;305;-99997
1065TE;35;15;20;5;-99997;10;10;10;60;40;-99997;20;10;-99997;-99997;5;1,9;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;15;-99997;307;5
1065TG;15;10;10;-99997;-99997;-99997;5;10;70;-99997;-99997;10;5;-99997;-99997;-99997;1,5;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;5;-99997;302;-99997
1065TH;35;15;20;10;-99997;10;10;10;50;20;40;20;10;-99997;-99997;5;1,9;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;10;-99997;-99997;-99997
1065TJ;50;15;35;5;10;25;5;-99997;40;30;30;30;15;5;5;-99997;1,7;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;10;-99997;265;-99997
1065TK;35;15;20;5;-99997;10;15;5;40;10;40;20;5;5;-99997;-99997;2,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;50;50;5;-99997;307;-99997
1065TL;35;20;15;5;-99997;10;10;10;50;30;20;20;10;5;-99997;-99997;1,9;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;10;-99997;306;-99997
1065TM;20;5;10;-99997;-99997;5;-99997;10;60;-99997;30;15;5;5;-99997;-99997;1,5;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;10;-99997;294;-99997
1065TN;30;15;15;-99997;-99997;10;10;10;60;-99997;30;20;10;5;-99997;-99997;1,6;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;70;10;-99997;300;-99997
1065TP;40;20;20;-99997;10;25;-99997;-99997;50;30;20;30;20;5;-99997;-99997;1,4;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;50;50;5;-99997;267;5
1065TR;50;25;25;10;-99997;20;5;10;40;20;40;25;5;10;-99997;-99997;2,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;40;60;15;-99997;302;-99997
1065TS;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1065TT;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1065TV;55;30;25;15;10;10;15;10;20;30;50;20;-99997;5;-99997;10;2,9;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;328;-99997
1065TW;45;20;30;5;10;10;5;15;20;10;70;25;10;5;-99997;-99997;2,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;301;5
1065TX;35;15;20;5;-99997;10;10;10;40;-99997;60;20;10;-99997;5;-99997;1,8;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;332;5
1065TZ;45;20;25;10;5;10;10;10;20;-99997;70;20;5;-99997;-99997;5;2,4;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;302;10
1065VA;65;25;35;20;10;15;20;-99997;30;10;60;20;-99997;-99997;10;5;3,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;330;15
1065VB;50;15;30;10;-99997;15;10;10;30;-99997;60;20;5;5;-99997;5;2,2;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;331;5
1065VC;45;20;25;10;5;15;10;5;30;10;60;25;15;-99997;5;-99997;1,9;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;327;-99997
1065VD;20;10;10;-99997;5;-99997;10;-99997;30;-99997;60;10;5;-99997;-99997;-99997;1,7;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;327;5
1065VE;85;40;45;25;10;30;15;10;-99997;10;90;35;10;5;5;15;2,6;30;-99997;-99997;-99997;-99997;-99997;-99997;-99997;30;30;-99997;100;-99997;-99997;377;15
1065VG;60;20;40;15;15;15;10;10;40;-99997;60;20;5;-99997;5;5;2,7;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10
1065VH;20;10;10;-99997;-99997;-99997;5;10;50;-99997;50;10;-99997;-99997;-99997;-99997;2,0;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;328;-99997
1065VJ;55;20;30;15;-99997;15;10;10;40;20;40;20;-99997;5;10;5;2,4;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10
1065VK;50;25;20;15;-99997;10;10;10;30;-99997;60;20;10;-99997;-99997;5;2,3;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;298;10
1065VL;30;15;15;10;-99997;10;10;-99997;-99997;20;70;15;5;-99997;5;-99997;2,4;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;253;-99997
1065VM;60;30;30;15;10;15;15;-99997;20;-99997;80;25;5;-99997;5;5;2,4;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;253;15
1065VN;40;20;20;10;5;15;10;-99997;10;-99997;80;15;5;-99997;-99997;5;2,4;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;250;10
1065VP;45;30;20;5;5;15;20;-99997;-99997;20;80;25;15;-99997;-99997;-99997;1,9;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;252;10
1065VR;50;30;20;5;10;15;15;10;30;-99997;70;25;10;5;-99997;5;2,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;252;10
1065VS;40;25;15;-99997;5;15;10;-99997;-99997;10;80;25;15;-99997;-99997;-99997;1,7;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;212;10
1065VT;165;95;75;40;55;30;30;10;10;-99997;90;85;50;5;10;15;1,9;45;-99997;-99997;-99997;-99997;-99997;-99997;-99997;45;45;-99997;100;-99997;-99997;375;25
1065VV;10;5;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;10;10;-99997;-99997;-99997;1,1;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;177;-99997
1065VW;60;30;25;10;10;15;15;5;-99997;-99997;90;25;10;-99997;5;5;2,3;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;243;10
1065VX;60;30;30;15;10;25;15;-99997;10;-99997;90;25;10;-99997;5;10;2,4;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;259;10
1065VZ;70;35;35;20;10;25;15;-99997;20;-99997;80;25;10;-99997;5;10;2,8;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;269;20
1065XA;10;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;5;-99997;-99997;-99997;1,0;10;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;163;5
1065XB;55;25;25;10;5;15;15;-99997;10;10;80;25;10;-99997;5;5;2,2;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;243;10
1065XC;50;30;25;15;10;20;10;-99997;30;-99997;70;15;-99997;-99997;-99997;5;3,3;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;269;10
1065XD;45;25;20;10;-99997;15;5;5;20;-99997;80;20;10;-99997;-99997;5;2,1;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;267;5
1065XE;10;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;80;5;5;-99997;-99997;-99997;1,6;5;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;167;-99997
1065XG;45;20;25;5;5;20;10;5;20;-99997;70;25;10;5;-99997;-99997;1,9;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;244;5
1065XH;40;25;20;-99997;5;15;10;-99997;20;40;40;25;15;5;-99997;-99997;1,7;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;80;10;-99997;272;5
1065XJ;45;30;15;10;10;20;5;-99997;20;20;50;25;10;10;-99997;5;2,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;15;50;50;10;-99997;255;-99997
1065XK;45;20;25;10;-99997;15;10;10;-99997;30;60;20;10;5;-99997;-99997;2,0;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;40;60;10;-99997;270;10
1065XL;45;20;25;-99997;15;15;10;5;20;-99997;70;20;10;-99997;-99997;5;2,1;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;247;10
1065XM;35;15;20;-99997;-99997;15;10;-99997;10;20;70;20;10;-99997;5;-99997;1,8;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;30;70;10;-99997;267;5
1065XN;40;15;20;5;-99997;15;10;10;30;20;60;25;15;5;-99997;-99997;1,7;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;15;40;60;15;-99997;252;5
1065XP;60;25;35;15;10;20;15;-99997;10;10;80;25;10;5;-99997;5;2,4;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;30;70;10;-99997;273;10
1065XR;50;30;20;10;10;20;10;-99997;10;-99997;90;20;15;-99997;-99997;10;2,3;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;30;70;15;-99997;254;5
1065XS;40;20;20;10;5;15;10;-99997;-99997;-99997;90;15;-99997;5;-99997;5;2,5;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;10;-99997;263;5
1065XT;75;45;30;15;15;25;15;-99997;10;10;80;25;10;-99997;-99997;10;2,8;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;275;5
1065XV;65;35;30;15;10;15;20;10;10;10;80;25;10;5;-99997;5;2,4;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;80;15;-99997;271;-99997
1065XW;80;50;30;15;20;25;20;-99997;10;10;80;30;15;-99997;5;10;2,6;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;30;70;15;-99997;277;5
1065XX;60;30;30;10;15;15;20;5;10;20;60;30;15;-99997;-99997;5;2,1;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;30;80;15;-99997;267;10
1065XZ;65;40;20;15;5;25;10;5;10;-99997;80;25;10;-99997;-99997;5;2,4;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;30;70;15;-99997;271;5
1066AA;145;65;85;15;25;50;35;20;20;20;60;70;25;15;5;20;2,1;65;-99997;10;-99997;-99997;-99997;-99997;55;-99997;65;30;70;45;-99997;384;15
1066AB;35;25;10;-99997;10;15;-99997;-99997;20;20;60;20;10;5;-99997;-99997;1,7;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997
1066AC;25;15;10;-99997;10;15;-99997;-99997;50;30;20;20;15;5;-99997;-99997;1,2;20;-99997;20;-99997;-99997;-99997;-99997;-99997;-99997;20;-99997;-99997;-99997;-99997;241;-99997
1066AD;25;10;15;-99997;-99997;15;-99997;-99997;50;20;30;15;10;5;-99997;-99997;1,6;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;288;-99997
1066AE;30;15;15;-99997;10;20;-99997;-99997;60;30;20;25;15;10;-99997;-99997;1,3;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;282;-99997
1066AG;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066AH;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066AJ;75;30;40;25;10;25;10;-99997;20;10;80;20;-99997;-99997;10;10;3,3;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;342;15
1066AK;40;20;20;15;5;10;5;-99997;-99997;-99997;90;10;-99997;-99997;5;5;3,6;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;5;342;10
1066AL;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;20;315;-99997
1066AM;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;15;-99997;15;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;15;310;-99997
1066AN;15;10;5;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;1,9;5;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;343;-99997
1066AP;25;10;15;-99997;-99997;10;-99997;10;60;20;20;15;5;5;-99997;-99997;1,6;15;-99997;-99997;-99997;-99997;15;-99997;-99997;-99997;15;-99997;-99997;-99997;-99997;348;-99997
1066AR;10;10;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066AS;25;10;15;-99997;10;-99997;10;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;4,0;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;472;5
1066AT;20;10;5;-99997;10;-99997;5;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;3,8;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;431;-99997
1066AV;15;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;2,6;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066AW;205;85;120;30;50;55;65;5;20;10;80;75;15;15;20;25;2,7;75;-99997;-99997;-99997;-99997;-99997;-99997;-99997;75;55;-99997;100;60;-99997;443;35
1066AX;70;35;35;15;15;15;15;-99997;10;10;80;25;5;-99997;10;5;2,9;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;25;-99997;-99997;-99997;-99997;396;10
1066AZ;275;135;140;65;25;110;60;15;20;20;60;110;35;30;15;35;2,5;105;-99997;-99997;-99997;-99997;-99997;-99997;95;10;105;40;60;60;-99997;432;25
1066BA;130;60;70;15;5;65;35;15;20;10;70;65;20;25;10;15;2,0;65;-99997;-99997;-99997;-99997;-99997;-99997;-99997;65;65;-99997;100;35;-99997;396;20
1066BB;20;10;10;5;10;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BC;35;20;15;15;5;15;-99997;-99997;30;-99997;60;5;-99997;-99997;-99997;5;5,1;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;522;5
1066BD;40;20;20;-99997;10;20;-99997;-99997;50;20;30;20;10;10;-99997;-99997;1,7;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;281;-99997
1066BE;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;25;-99997;25;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;15;303;-99997
1066BG;175;80;95;40;30;35;50;15;10;10;90;60;20;10;15;20;2,9;80;-99997;25;-99997;-99997;-99997;-99997;50;5;75;-99997;100;80;20;385;35
1066BH;25;15;15;10;-99997;15;-99997;-99997;40;20;40;10;-99997;-99997;-99997;-99997;2,3;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;550;-99997
1066BM;35;20;15;15;10;5;5;-99997;-99997;-99997;100;10;-99997;-99997;-99997;5;4,6;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BN;35;15;20;15;10;5;5;-99997;20;-99997;70;10;-99997;-99997;-99997;5;4,5;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10;-99997;-99997;-99997;-99997;-99997;523;10
1066BP;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BR;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BS;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BT;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BV;25;15;15;-99997;-99997;5;15;-99997;80;20;-99997;15;10;-99997;-99997;-99997;1,7;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BW;55;35;20;10;10;15;20;-99997;70;20;10;30;20;-99997;5;-99997;1,8;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;10
1066BX;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066BZ;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1066CA;15;10;10;5;-99997;5;-99997;-99997;40;40;-99997;10;5;-99997;-99997;-99997;2,1;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;734;-99997
1066CB;15;5;10;-99997;-99997;-99997;-99997;-99997;80;-99997;-99997;10;5;-99997;-99997;-99997;1,8;5;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;701;-99997
1066CC;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
