,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
235,Leidsebuurt Noordwest,4.0,1.0,120623.56536996337,486471.7496703297,4.882497730769231,52.3650552378022,884.0,1026.0,1971.0,5708.0,46356.0,29,273,205,0,0,1,0,0,0,1
236,Leidsebuurt Zuidoost,0.0,0.0,120744.61703184714,486159.7485509554,4.8843066867197455,52.36225874515924,869.0,1009.0,2146.0,2705.0,23360.0,3,311,225,0,0,0,0,0,0,0
237,Leidsebuurt Zuidwest,0.0,0.0,120486.08902797202,486420.15224475524,4.8804847080419576,52.3645828958042,1030.0,1199.0,2135.0,5987.0,18925.0,0,135,109,0,1,0,0,0,0,1
238,Leidsegracht Noord,11.0,1.0,120771.11863811189,486793.0882062937,4.884631288688811,52.36795240877622,1254.0,1457.0,2509.0,1873.0,13329.0,5,572,423,9,1,0,0,1,1,3
239,Leidsegracht Zuid,5.0,0.0,120868.3975133438,486649.65359340655,4.886074131208791,52.36666937207221,1128.0,1308.0,2314.0,3363.0,16803.0,27,637,472,2,1,1,0,1,1,4
240,Leliegracht e.o.,18.0,1.0,120956.74806768414,487659.1435441274,4.8872690040411415,52.37574743094891,1132.0,1314.0,2402.0,2191.0,13349.0,64,1485,1185,8,1,1,1,1,1,5
241,Linnaeusparkbuurt,13.0,1.0,124046.89430928571,485239.34941142856,4.932870020514286,52.35418278785001,1110.0,1289.0,2417.0,469.0,3673.0,9,1400,1292,6,1,0,1,1,1,4
242,Lizzy Ansinghbuurt,18.0,1.0,121336.79176409592,484948.8743564485,4.8931211924692155,52.35141284716786,808.0,938.0,1810.0,457.0,10084.0,6,1526,1414,6,0,0,1,1,1,3
243,Loenermark,4.0,0.0,123936.48970860927,490236.7851050142,4.930787638912014,52.39909013807001,570.0,661.0,1531.0,1.0,108481.0,793,886,972,0,0,1,0,0,0,1
244,Lootsbuurt,27.0,3.0,119165.87533285917,486301.6479864865,4.861115261450925,52.36343331524893,684.0,793.0,1545.0,322.0,2294.0,0,1374,1252,19,0,0,1,1,1,3
