openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat;verkorteopenbareruimte
Tankval;23;;;2408ZC;Alphen aan den Rijn;Alphen aan den Rijn;Zuid-Holland;0484200000037196;industriefunctie;4503;Verblijfsobject in gebruik;0484010000037196;VBO;f;0484100000001292;Pand in gebruik;2007;105273.505;458442.162;4.66126512647886;52.1119723868798;
Simon Carmiggelthof;128;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000522923;woonfunctie;112;Verblijfsobject in gebruik;0518010000522924;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;136;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000718255;woonfunctie;114;Verblijfsobject in gebruik;0518010000718256;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;144;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000686059;woonfunctie;114;Verblijfsobject in gebruik;0518010000686060;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;152;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000785668;woonfunctie;114;Verblijfsobject in gebruik;0518010000785669;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;160;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000520422;woonfunctie;114;Verblijfsobject in gebruik;0518010000520423;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;168;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000785670;woonfunctie;114;Verblijfsobject in gebruik;0518010000785671;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;176;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000486526;woonfunctie;114;Verblijfsobject in gebruik;0518010000486527;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;184;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000888163;woonfunctie;114;Verblijfsobject in gebruik;0518010000888164;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
Simon Carmiggelthof;192;;;2492JN;'s-Gravenhage;'s-Gravenhage;Zuid-Holland;0518200000718257;woonfunctie;114;Verblijfsobject in gebruik;0518010000718258;VBO;f;0518100000248020;Pand in gebruik;2009;87454.321;453439.638;4.40215238581868;52.0651264440717;
