,buurtnaam,before_1940,1940-1959,1960-1979,1980-1999,after_2000
215,Kattenburg,32,4,726,34,0
216,Kazernebuurt,223,0,46,359,0
217,Kelbergen,0,0,391,1,0
218,Kolenkitbuurt Noord,0,976,64,2,977
219,Kolenkitbuurt Zuid,0,272,97,4,771
220,Koningin Wilhelminaplein,0,0,360,794,681
221,Kop Zeedijk,829,13,10,113,37
222,Kop Zuidas,0,0,1,0,724
223,Kortenaerkwartier,975,0,11,150,11
224,Kortvoort,24,0,222,1262,134
225,Kromme Mijdrechtbuurt,1493,1,5,48,45
226,L-buurt,0,0,0,1133,7
227,Laan van Spartaan,0,0,0,0,1581
228,Landelijk gebied Driemond,13,1,0,3,31
229,Landlust Noord,1253,0,0,18,23
230,Landlust Zuid,2321,8,0,24,1
231,Langestraat e.o.,1233,24,45,51,17
232,Lastage,694,17,11,76,18
233,Legmeerpleinbuurt,887,54,15,0,46
234,Leidsebuurt Noordoost,835,47,63,46,19
235,Leidsebuurt Noordwest,133,15,14,109,0
236,Leidsebuurt Zuidoost,224,0,3,81,1
237,Leidsebuurt Zuidwest,132,0,0,0,10
238,Leidsegracht Noord,502,16,5,36,3
239,Leidsegracht Zuid,600,0,27,8,2
240,Leliegracht e.o.,1358,18,62,39,8
241,Linnaeusparkbuurt,1292,39,0,62,3
242,Lizzy Ansinghbuurt,1184,0,6,348,0
243,Loenermark,0,0,793,94,408
244,Lootsbuurt,1155,0,0,99,146
245,Louis Chrispijnbuurt,0,1203,138,232,232
246,Lucas/Andreasziekenhuis e.o.,0,1,4,0,290
247,Marathonbuurt Oost,910,0,0,0,1
248,Marathonbuurt West,1559,1,0,0,0
249,Marcanti,12,0,0,467,161
250,Marine-Etablissement,7,1,1,0,2
251,Marjoleinterrein,1,7,0,93,47
252,Markengouw Midden,0,0,615,61,863
253,Markengouw Zuid,0,0,768,42,156
254,Markthallen,66,2,22,2,10
255,Marnixbuurt Midden,143,0,0,0,0
256,Marnixbuurt Noord,747,4,0,271,0
257,Marnixbuurt Zuid,370,3,0,25,165
258,Medisch Centrum Slotervaart,0,1,182,2,120
259,Meer en Oever,0,0,577,198,877
260,Mercatorpark,0,0,4,1,14
261,Middelveldsche Akerpolder,8,4,1,1558,9
262,Middeneiland Zuidwest,0,0,0,0,1
263,Middenmeer Noord,1245,0,1,0,0
264,Middenmeer Zuid,1077,1324,26,1,3
265,Minervabuurt Midden,1050,121,1,0,3
266,Minervabuurt Noord,633,16,2,4,1
267,Minervabuurt Zuid,1041,265,0,0,0
268,Molenwijk,0,0,1446,11,1
269,Museumplein,11,0,0,4,7
270,NDSM terrein,94,4,0,114,3199
271,Nelson Mandelapark,1,0,0,0,7
272,Nes e.o.,396,0,4,33,22
273,Nieuw Sloten Noordoost,0,0,4,1368,6
274,Nieuw Sloten Noordwest,0,0,0,1240,1
275,Nieuw Sloten Zuidoost,0,0,0,821,98
276,Nieuw Sloten Zuidwest,0,0,3,843,11
277,Nieuwe Diep/Diemerpark,1,11,2,1,19
278,Nieuwe Kerk e.o.,655,1,4,171,16
279,Nieuwe Meer,50,6,8,42,2
280,Nieuwe Oosterbegraafplaats,7,0,0,1,5
281,Nieuwendammerdijk Oost,81,23,6,6,29
282,Nieuwendammerdijk West,214,35,45,101,16
283,Nieuwendammerdijk Zuid,0,0,0,0,0
284,Nieuwendijk Noord,371,9,10,120,6
285,Nieuwmarkt,637,3,45,513,0
286,Nintemanterrein,0,0,0,40,0
287,Noorder IJplas,0,0,0,3,2
288,Noorderstrook Oost,0,0,1,5,3
289,Noorderstrook West,0,0,2,2,0
290,Noordoever Sloterplas,0,457,650,438,171
291,Noordoostkwadrant Indische buurt,1101,1,72,1647,263
292,Noordwestkwadrant Indische buurt Noord,2022,0,0,145,472
293,Noordwestkwadrant Indische buurt Zuid,1776,0,5,590,107
294,Olympisch Stadion e.o.,195,0,11,0,1115
295,Ookmeer,1,0,7,2,18
296,Oostelijke Handelskade,11,0,0,0,1048
297,Oostenburg,273,11,6,652,1758
298,Oosterdokseiland,38,3,1,1,433
299,Oosterpark,115,1,2,0,2
300,Oosterparkbuurt Noordwest,1103,77,13,955,301
301,Oosterparkbuurt Zuidoost,1221,147,197,651,15
302,Oosterparkbuurt Zuidwest,603,149,38,917,137
303,Oostoever Sloterplas,0,0,0,1075,7
304,Oostpoort,68,173,44,18,884
305,Oostzanerdijk,69,9,9,56,56
306,Orteliusbuurt Midden,1030,129,0,1,0
307,Orteliusbuurt Noord,664,128,0,0,1
308,Orteliusbuurt Zuid,1030,35,0,42,0
309,Osdorp Midden Noord,0,0,525,242,439
310,Osdorp Midden Zuid,3,0,940,1,575
311,Osdorp Zuidoost,0,0,1954,220,46
312,Osdorper Binnenpolder,5,1,1,23,65
313,Osdorper Bovenpolder,56,10,33,141,148
314,Osdorpplein e.o.,0,0,792,483,1466
315,Oude Kerk e.o.,648,8,29,101,101
316,Overamstel,5,0,0,2,9
317,Overbraker Binnenpolder,1,0,2,8,5
318,Overhoeks,37,0,0,0,2515
319,Overtoomse Veld Noord,0,486,771,29,1405
320,Overtoomse Veld Zuid,0,332,445,190,1934
321,P.C. Hooftbuurt,711,5,0,6,20
322,Papaverweg e.o.,49,37,113,121,962
323,Paramariboplein e.o.,2089,25,21,0,1
324,Park Haagseweg,0,0,0,401,39
325,Park de Meer,0,1,0,0,713
326,Parooldriehoek,0,122,9,0,0
327,Passeerdersgrachtbuurt,333,41,0,345,23
328,Petroleumhaven,3,27,15,7,47
329,Pieter van der Doesbuurt,1030,4,0,0,35
330,Plan van Gool,0,0,1421,0,4
331,Planciusbuurt Noord,242,2,0,14,0
332,Planciusbuurt Zuid,136,0,0,0,0
333,Postjeskade e.o.,1698,5,0,13,1
334,Prinses Irenebuurt,2,784,180,3,5
335,RAI,0,0,8,4,20
336,RI Oost terrein,0,0,0,0,2619
337,Ransdorp,63,9,13,34,24
338,Rapenburg,490,0,42,117,104
339,Rechte H-buurt,0,0,1301,2,10
340,Reguliersbuurt,423,0,10,23,22
341,Reigersbos Midden,12,0,0,1154,0
342,Reigersbos Noord,0,0,1773,83,0
343,Reigersbos Zuid,4,0,0,1096,0
344,Rembrandtpark Noord,0,0,374,1,2
345,Rembrandtpark Zuid,0,0,477,1,0
346,Rembrandtpleinbuurt,377,1,8,102,5
347,Riekerhaven,0,0,4,12,534
348,Riekerpolder,3,0,9,3,498
349,Rieteiland Oost,0,0,0,0,93
350,Rietlanden,94,0,4,250,1064
351,Rijnbuurt Midden,1265,6,6,2,5
352,Rijnbuurt Oost,1417,61,62,1,23
353,Rijnbuurt West,963,42,0,36,46
354,Robert Scottbuurt Oost,886,68,0,0,13
355,Robert Scottbuurt West,0,354,801,178,290
356,Rode Kruisbuurt,0,0,115,22,4
357,Sarphatiparkbuurt,3496,0,25,223,76
358,Sarphatistrook,853,4,15,334,165
359,Scheepvaarthuisbuurt,346,7,7,21,7
360,Scheldebuurt Midden,1596,0,1,40,2
361,Scheldebuurt Oost,1196,63,3,0,0
362,Scheldebuurt West,2400,0,0,0,1
363,Schellingwoude Noord,2,3,0,2,0
364,Schellingwoude Oost,106,27,15,9,38
365,Schellingwoude West,11,0,1,13,9
366,Schinkelbuurt Noord,1328,64,0,110,98
367,Schinkelbuurt Zuid,903,1,1,43,124
368,Schipluidenbuurt,0,0,39,1,1148
369,Science Park Noord,2,4,9,3,1865
370,Science Park Zuid,1,5,0,8,274
371,Sloterdijk II,0,0,93,20,55
372,Sloterdijk III Oost,0,0,0,3,133
373,Sloterdijk III West,3,0,41,133,527
374,Slotermeer Zuid,0,1840,75,91,2
375,Sloterpark,0,0,0,0,40
376,Sloterweg e.o.,24,8,16,50,52
377,Spaarndammerbuurt Midden,683,0,0,81,112
378,Spaarndammerbuurt Noordoost,846,0,161,660,1
379,Spaarndammerbuurt Noordwest,1083,0,0,0,4
380,Spaarndammerbuurt Zuidoost,379,1,35,165,72
381,Spaarndammerbuurt Zuidwest,647,7,96,266,96
382,Spiegelbuurt,692,4,51,68,7
383,Sporenburg,0,0,0,542,627
384,Sportpark Middenmeer Noord,0,0,1,0,259
385,Sportpark Middenmeer Zuid,44,0,6,155,10
386,Sportpark Voorland,0,0,0,0,5
387,Spuistraat Noord,745,0,1,36,4
388,Spuistraat Zuid,718,0,0,80,48
389,Staalmanbuurt,0,360,208,67,1423
390,Staatsliedenbuurt Noordoost,66,0,179,527,0
391,Stationsplein e.o.,121,0,0,16,42
392,Steigereiland Noord,0,0,0,0,706
393,Steigereiland Zuid,0,0,0,0,1067
394,Surinamepleinbuurt,572,8,282,29,16
