,Wijken en buurten,Bouwjaar voor 2000,Bouwjaar vanaf 2000
338,Drieburg,.,.
340,Weespertrekvaart,3,97
341,Amstelglorie,.,.
342,Overamstel,.,.
343,Amstelkwartier Noord,0,100
344,De Omval,94,6
345,Amstelkwartier Zuid,.,.
346,Amstelkwartier West,27,73
348,Prinses Irenebuurt,100,0
349,Beatrixpark,.,.
351,Van der Pekbuurt,98,2
352,Bloemenbuurt Zuid,100,0
353,Bloemenbuurt Noord,100,0
355,IJplein e.o.,100,0
356,Vogelbuurt Zuid,94,6
357,Vogelbuurt Noord,100,0
358,Vliegenbos,5,95
360,Tuindorp Nieuwendam West,100,0
361,Tuindorp Nieuwendam Oost,100,0
363,Blauwe Zand,100,0
365,Buiksloterdijk West,81,19
366,Buiksloterdijk Oost,96,4
367,Nieuwendammerdijk West,97,3
368,Nieuwendammerdijk Oost,88,12
369,Nieuwendammerdijk Zuid,.,.
371,Tuindorp Oostzaan West,100,0
372,Tuindorp Oostzaan Oost,100,0
373,Terrasdorp,92,8
374,De Bongerd,0,100
376,Oostzanerdijk,88,12
377,Walvisbuurt,95,5
378,Twiske West,98,2
379,Noorder IJplas,.,.
380,Molenwijk,100,0
381,Circus/Kermisbuurt,92,8
384,Twiske Oost,100,0
386,Baanakkerspark Noord,100,0
387,Baanakkerspark Zuid,100,0
388,Werengouw Midden,82,18
389,Markengouw Midden,61,39
390,Markengouw Zuid,86,14
391,Werengouw Zuid,100,0
393,Rode Kruisbuurt,99,1
394,Loenermark,100,0
395,Buikslotermeerplein,61,39
396,Plan van Gool,100,0
397,De Kleine Wereld,100,0
398,Buikslotermeer Noord,100,0
400,Banne Zuidwest,70,30
401,Banne Zuidoost,68,32
402,Banne Noordwest,100,0
403,Banne Noordoost,100,0
404,Buiksloterbreek,100,0
405,Marjoleinterrein,69,31
407,Papaverweg e.o.,8,92
408,Cornelis Douwesterrein,.,.
409,NDSM terrein,0,100
410,Buiksloterham,3,97
411,Overhoeks,0,100
413,Bedrijventerrein Hamerstraat,37,63
414,Zamenhofstraat e.o.,.,.
415,Bedrijventerrein Nieuwendammerdijk,.,.
417,Schellingwoude West,71,29
418,Schellingwoude Oost,80,20
419,Schellingwoude Noord,.,.
420,Durgerdam,83,17
421,Zwarte Gouw,.,.
422,Ransdorp,85,15
423,Holysloot,72,28
424,Zunderdorp,68,32
425,Noorderstrook West,.,.
426,Noorderstrook Oost,.,.
428,Nintemanterrein,100,0
429,Elzenhagen Zuid,0,100
430,Elzenhagen Noord,39,61
431,Chassébuurt,90,10
432,Kortenaerkwartier,99,1
433,Filips van Almondekwartier,79,21
434,De Wester Quartier,87,13
435,Van Brakelkwartier,92,8
437,Buurt 3,97,3
438,Buurt 2,91,9
440,Slotermeer Zuid,100,0
441,Noordoever Sloterplas,89,11
442,Buurt 4 Oost,87,13
443,Buurt 5 Noord,98,2
444,Sloterpark,0,100
445,Buurt 5 Zuid,88,12
447,Buurt 6,94,6
448,Buurt 7,62,38
449,Buurt 8,47,53
450,Buurt 9,52,48
451,Eendrachtspark,100,0
453,Osdorper Binnenpolder,.,.
454,Buurt 10,100,0
456,Ookmeer,.,.
457,Osdorper Bovenpolder,76,24
458,Bedrijvenpark Lutkemeer,54,46
460,Wildeman,96,4
461,Meer en Oever,45,55
462,Osdorpplein e.o.,68,32
463,Calandlaan/Lelylaan,85,15
464,Osdorp Zuidoost,98,2
466,Osdorp Midden Noord,61,39
467,Osdorp Midden Zuid,60,40
468,Zuidwestkwadrant Osdorp Noord,30,70
469,Zuidwestkwadrant Osdorp Zuid,23,77
472,Bedrijvencentrum Osdorp,7,93
475,De Aker West,93,7
476,De Aker Oost,62,38
478,Oostoever Sloterplas,99,1
479,Emanuel van Meterenbuurt,100,0
480,Jacob Geelbuurt,95,5
482,Overtoomse Veld Noord,47,53
483,Overtoomse Veld Zuid,38,62
484,Rembrandtpark Noord,100,0
485,Rembrandtpark Zuid,100,0
486,Johan Jongkindbuurt,100,0
487,Lucas/Andreasziekenhuis e.o.,0,100
489,Koningin Wilhelminaplein,65,35
490,Andreasterrein,3,97
491,Delflandpleinbuurt Oost,80,20
492,Delflandpleinbuurt West,51,49
493,Riekerhaven,0,100
494,Schipluidenbuurt,1,99
496,Riekerpolder,.,.
497,Park Haagseweg,92,8
498,Nieuwe Meer,.,.
499,Sloterweg e.o.,84,16
500,Nieuw Sloten Noordwest,100,0
501,Nieuw Sloten Noordoost,100,0
502,Belgiëplein e.o.,100,0
503,Nieuw Sloten Zuidwest,100,0
504,Nieuw Sloten Zuidoost,91,9
505,Dorp Sloten,88,12
507,Louis Chrispijnbuurt,86,14
508,Jacques Veltmanbuurt,67,33
509,Staalmanbuurt,43,57
510,Medisch Centrum Slotervaart,62,38
512,Gelderlandpleinbuurt,93,7
513,Buitenveldert Midden Zuid,100,0
514,Buitenveldert Zuidwest,94,6
515,Amsterdamse Bos,83,17
516,Buitenveldert West Midden,62,38
517,Zuiderhof,.,.
