,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
315649,316742,verblijfsobject,34,,H,363200000147097.0,363010000685310.0,52.35086039,4.90439045,122104.0,484882.0,47,woonfunctie,14923
315650,316743,verblijfsobject,42,,1,363200000147114.0,363010000685319.0,52.35039371,4.90455697,122115.0,484830.0,62,woonfunctie,14924
315651,316744,verblijfsobject,42,,2,363200000147115.0,363010000685320.0,52.35039371,4.90455697,122115.0,484830.0,62,woonfunctie,14924
315652,316745,verblijfsobject,42,,3,363200000147116.0,363010000685321.0,52.35039371,4.90455697,122115.0,484830.0,61,woonfunctie,14924
315653,316746,verblijfsobject,42,,H,363200000147113.0,363010000685318.0,52.35039371,4.90455697,122115.0,484830.0,65,woonfunctie,14924
315654,316747,verblijfsobject,44,,1,363200000147119.0,363010000685324.0,52.35033092,4.90458701,122117.0,484823.0,51,woonfunctie,14924
315655,316748,verblijfsobject,44,,2,363200000147120.0,363010000685333.0,52.35033092,4.90458701,122117.0,484823.0,51,woonfunctie,14924
315656,316749,verblijfsobject,44,,3,363200000147121.0,363010000685334.0,52.35033092,4.90458701,122117.0,484823.0,51,woonfunctie,14924
315657,316750,verblijfsobject,44,,H,363200000147118.0,363010000685323.0,52.35033092,4.90458701,122117.0,484823.0,51,woonfunctie,14924
315658,316751,verblijfsobject,46,,1,363200000147124.0,363010000685337.0,52.35027705,4.90460227,122118.0,484817.0,52,woonfunctie,14924
315659,316752,verblijfsobject,46,,2,363200000147125.0,363010000685338.0,52.35027705,4.90460227,122118.0,484817.0,52,woonfunctie,14924
315660,316753,verblijfsobject,46,,3,363200000147126.0,363010000685339.0,52.35027705,4.90460227,122118.0,484817.0,52,woonfunctie,14924
315661,316754,verblijfsobject,46,,H,363200000147123.0,363010000685336.0,52.35027705,4.90460227,122118.0,484817.0,52,woonfunctie,14924
315662,316755,verblijfsobject,48,,1,363200000147129.0,363010000685342.0,52.35022325,4.90463221,122120.0,484811.0,51,woonfunctie,14924
315663,316756,verblijfsobject,48,,2,363200000147130.0,363010000685343.0,52.35022325,4.90463221,122120.0,484811.0,51,woonfunctie,14924
315664,316757,verblijfsobject,48,,3,363200000147131.0,363010000685344.0,52.35022325,4.90463221,122120.0,484811.0,51,woonfunctie,14924
315665,316758,verblijfsobject,48,,H,363200000147128.0,363010000685341.0,52.35022325,4.90463221,122120.0,484811.0,51,woonfunctie,14924
315666,316759,verblijfsobject,50,,1,363200000147134.0,363010000685347.0,52.3501604,4.90464757,122121.0,484804.0,51,woonfunctie,14924
315667,316760,verblijfsobject,50,,2,363200000147135.0,363010000685348.0,52.3501604,4.90464757,122121.0,484804.0,51,woonfunctie,14924
315668,316761,verblijfsobject,50,,3,363200000147136.0,363010000685349.0,52.3501604,4.90464757,122121.0,484804.0,51,woonfunctie,14924
315669,316762,verblijfsobject,50,,H,363200000147133.0,363010000685346.0,52.3501604,4.90464757,122121.0,484804.0,51,woonfunctie,14924
315670,316763,verblijfsobject,52,,1,363200000147139.0,363010000685352.0,52.35010653,4.90466284,122122.0,484798.0,52,woonfunctie,14924
