,BuurtCode,InwonersTotaal,Leeftijd 0-15,% Leeftijd 0-15,Leeftijd 65+,% Leeftijd 65+,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid
264,BU03634602,1560,225,14.423076923076922,210,13.461538461538462,     2.0,    8301
265,BU03634603,0,0,,0,,       .,       .
267,BU03634700,1500,225,15.0,260,17.333333333333336,     1.9,    9739
268,BU03634701,785,90,11.464968152866243,140,17.8343949044586,     1.7,    7079
269,BU03634702,1830,295,16.120218579234972,310,16.939890710382514,     1.9,   13869
270,BU03634703,2870,490,17.073170731707318,445,15.505226480836237,     2.0,   14749
271,BU03634704,785,110,14.012738853503185,205,26.11464968152866,     2.1,    7648
272,BU03634705,2005,295,14.713216957605985,365,18.204488778054863,     1.9,   16149
273,BU03634706,1370,110,8.02919708029197,650,47.44525547445255,     1.6,   13970
274,BU03634707,5,5,100.0,5,100.0,     1.6,       .
275,BU03634708,5,0,0.0,5,100.0,     2.5,       .
276,BU03634709,1360,135,9.926470588235293,115,8.455882352941178,     1.6,   23268
278,BU03634800,1110,105,9.45945945945946,230,20.72072072072072,     1.6,   20435
279,BU03634801,1470,160,10.884353741496598,275,18.70748299319728,     1.7,    9855
280,BU03634802,2390,220,9.205020920502092,400,16.736401673640167,     1.6,   20245
281,BU03634803,2340,455,19.444444444444446,355,15.17094017094017,     2.0,   11188
282,BU03634804,375,80,21.333333333333336,50,13.333333333333334,     2.3,    1662
283,BU03634805,4175,545,13.053892215568863,510,12.215568862275449,     1.8,   20927
285,BU03634900,805,170,21.11801242236025,130,16.149068322981368,     2.5,    4203
286,BU03634901,1215,220,18.106995884773664,230,18.930041152263374,     2.2,    8328
287,BU03634902,80,20,25.0,10,12.5,     2.7,     868
288,BU03634903,1365,295,21.611721611721613,250,18.315018315018314,     2.3,    9498
289,BU03634904,2390,460,19.246861924686193,445,18.619246861924683,     2.2,   15893
290,BU03634905,2630,480,18.250950570342205,495,18.8212927756654,     2.0,   17056
292,BU03635000,0,0,,0,,       .,       .
293,BU03635001,0,0,,0,,       .,       .
294,BU03635003,0,0,,0,,       .,       .
295,BU03635005,0,0,,0,,       .,       .
296,BU03635006,70,30,42.857142857142854,0,0.0,     3.1,     259
298,BU03635100,340,120,35.294117647058826,5,1.4705882352941175,     3.5,    3301
299,BU03635101,6030,1820,30.18242122719735,205,3.399668325041459,     2.7,   13565
300,BU03635102,1780,370,20.786516853932586,135,7.584269662921349,     2.1,   15565
302,BU03635200,2945,430,14.60101867572156,425,14.431239388794568,     1.9,   21087
303,BU03635201,4285,605,14.11901983663944,650,15.16919486581097,     1.8,   17038
304,BU03635202,3095,455,14.70113085621971,475,15.347334410339256,     1.9,   19324
305,BU03635203,2325,310,13.333333333333334,285,12.258064516129032,     1.8,   16562
306,BU03635206,1495,175,11.705685618729097,395,26.421404682274247,     1.6,   11439
307,BU03635207,680,90,13.23529411764706,60,8.823529411764707,     1.9,    4113
309,BU03635300,2350,235,10.0,370,15.74468085106383,     1.6,   19014
310,BU03635301,2870,310,10.801393728222997,360,12.543554006968641,     1.7,   21661
312,BU03635400,2485,235,9.456740442655935,365,14.688128772635814,     1.6,   14902
313,BU03635401,2685,280,10.42830540037244,335,12.476722532588454,     1.6,   14034
314,BU03635402,2190,230,10.50228310502283,280,12.785388127853881,     1.7,    8485
315,BU03635403,1670,190,11.377245508982035,355,21.25748502994012,     1.6,   21087
316,BU03635404,45,10,22.22222222222222,10,22.22222222222222,     1.8,     171
318,BU03635501,2765,225,8.1374321880651,65,2.3508137432188065,     1.3,   15781
319,BU03635502,1030,95,9.223300970873787,135,13.106796116504855,     1.7,    5597
320,BU03635503,2105,340,16.152019002375297,290,13.77672209026128,     2.0,   13417
321,BU03635504,10,5,50.0,5,50.0,     1.6,      53
322,BU03635505,830,125,15.060240963855422,200,24.096385542168676,     1.7,    7659
323,BU03635506,1815,275,15.151515151515152,425,23.415977961432507,     1.9,    6565
324,BU03635507,2735,385,14.076782449725778,550,20.109689213893965,     1.6,    7596
325,BU03635508,580,85,14.655172413793101,75,12.931034482758621,     1.9,    7917
327,BU03635600,2640,455,17.234848484848484,385,14.583333333333334,     2.0,   15370
328,BU03635601,2885,540,18.717504332755635,410,14.211438474870016,     2.2,   15565
329,BU03635602,4980,950,19.076305220883537,595,11.947791164658634,     2.1,   12586
330,BU03635603,295,30,10.16949152542373,145,49.152542372881356,     1.6,    1410
331,BU03635604,250,5,2.0,0,0.0,     1.0,    1049
332,BU03635605,1565,200,12.779552715654951,270,17.252396166134183,     2.2,    6059
333,BU03635606,0,0,,0,,       .,       .
334,BU03635607,2620,170,6.488549618320611,55,2.099236641221374,     1.4,    6415
335,BU03635608,285,10,3.508771929824561,10,3.508771929824561,     1.1,     409
337,BU03635700,3130,395,12.619808306709265,760,24.281150159744406,     1.7,    7144
338,BU03635701,5,0,0.0,0,0.0,     2.0,       .
339,BU03635702,0,0,,0,,       .,       .
341,BU03635801,855,65,7.602339181286549,25,2.923976608187134,     1.6,    1875
342,BU03635804,80,15,18.75,20,25.0,     2.2,     182
343,BU03635805,45,5,11.11111111111111,5,11.11111111111111,     2.9,      43
344,BU03635806,2640,270,10.227272727272728,55,2.083333333333333,     1.5,    9372
345,BU03635807,715,65,9.090909090909092,140,19.58041958041958,     1.7,    6216
346,BU03635808,25,0,0.0,15,60.0,     1.5,     127
347,BU03635809,875,10,1.1428571428571428,20,2.2857142857142856,     1.2,    4155
349,BU03635900,1380,275,19.92753623188406,305,22.10144927536232,     2.1,    5645
350,BU03635901,0,0,,0,,       .,       .
352,BU03636000,4620,760,16.450216450216452,440,9.523809523809524,     1.9,    9413
353,BU03636001,2415,455,18.84057971014493,370,15.320910973084887,     2.0,    6754
354,BU03636002,2405,375,15.592515592515593,430,17.87941787941788,     1.9,    6958
356,BU03636100,2430,290,11.934156378600823,385,15.843621399176955,     1.7,   11984
357,BU03636101,4250,680,16.0,495,11.647058823529411,     1.9,   13251
358,BU03636102,1275,205,16.07843137254902,145,11.372549019607844,     1.8,    4435
359,BU03636103,175,35,20.0,15,8.571428571428571,     2.5,     478
361,BU03636200,1040,135,12.980769230769232,300,28.846153846153843,     1.9,    9353
362,BU03636201,2440,415,17.008196721311474,515,21.10655737704918,     1.9,    7681
364,BU03636300,1895,295,15.567282321899736,360,18.997361477572557,     2.0,   11247
