,BuurtCode,Neighborhood,TotalResidents,Age 0-15,% age 0-15,Age 65+,%Age 65+,AverageSizeofHoushold,Population Density,Building year before 2000,Building year after 2000,woning,horeca,winkel,bedrijf_en_kantoor,kerk_en_gebedsruimte,cultuur_en_musea,medisch,bejaardenhuis_tehuis_en_bijzondere_woonfunctie,kinderdagverblijf_en_basisschool,middelbaar_en_speciaal_onderwijs,beroeps_en_wetenschappelijk_onderwijs,garage_en_parkeerplaats,nr_of_rent,nr_of_possession,avg_construction_year,time_of_change,nr_of_tussengebouw,nr_of_hoekgebouw,nr_of_vrijstaandgebouw,nr_of_half_vrijstaandgebouw,nr_of_kopgebouw,nr_of_situation_anders,avg_nr_of_accomodations_in_building,avg_nr_of_res_accomodations_in_building,floorsize_accomodation,nr_of_monuments,incident,nr_of_inspections_within_timeline,nr_of_inspections_with_observation,nr_of_inspections_without_observation,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect,Supermarkt,Verzorghuizen,Museum
20,BU03630303,Amstelveldbuurt,1530.0,150.0,9.803921568627452,250.0,16.33986928104575,     1.7,   13843,99,1,240.0,35.0,42.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,185.0,111.0,1302.0,31/12/9999,296.0,33.0,0.0,0.0,0.0,11.0,7.0,4.0,199.0,46.0,0.0,56.0,26.0,30.0,12.0,1.0,121747.83025787729,486287.7196807628,4.899021538582089,52.36347050728026,1184.0,1374.0,2363.0,1464.0,13083.0,39.0,1199.0,973.0,10.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,,7.0
21,BU03630304,Rembrandtpleinbuurt,455.0,25.0,5.494505494505495,45.0,9.89010989010989,     1.4,    7853,100,0,83.0,57.0,10.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,23.0,1376.0,31/12/9999,122.0,30.0,0.0,0.0,0.0,19.0,13.0,6.0,110.0,29.0,4.0,99.0,51.0,48.0,5.0,0.0,121687.10416898609,486604.2314413519,4.898098676978131,52.36631142017893,1001.0,1165.0,1979.0,5631.0,20859.0,8.0,503.0,314.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,,7.0
22,BU03630305,Reguliersbuurt,395.0,25.0,6.329113924050633,10.0,2.5316455696202533,     1.4,    9831,94,6,71.0,49.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.0,12.0,1200.0,31/12/9999,126.0,42.0,0.0,0.0,0.0,0.0,7.0,3.0,232.0,20.0,10.0,32.0,21.0,11.0,6.0,0.0,121337.58008097166,486638.2806882591,4.892963670465587,52.36659610793522,943.0,1094.0,1795.0,4202.0,33735.0,9.0,490.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,7.0
23,BU03630306,Leidsegracht Zuid,640.0,45.0,7.03125,110.0,17.1875,     1.6,   11781,100,0,129.0,16.0,23.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,122.0,58.0,1211.0,31/12/9999,183.0,26.0,0.0,0.0,0.0,5.0,8.0,4.0,164.0,40.0,8.0,62.0,37.0,25.0,5.0,0.0,120868.3975133438,486649.65359340655,4.886074131208791,52.36666937207221,1128.0,1308.0,2314.0,3363.0,16803.0,27.0,637.0,472.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,,7.0
24,BU03630400,Oosterdokseiland,460.0,60.0,13.043478260869565,50.0,10.869565217391305,     1.8,    3698,4,96,105.0,3.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,22.0,1970.0,31/12/9999,19.0,10.0,82.0,0.0,0.0,68.0,136.0,65.0,299.0,6.0,5.0,7.0,3.0,4.0,6.0,4.0,122310.33878486998,487728.0511607565,4.907139506193853,52.37644898404256,525.0,612.0,1981.0,1088.0,88436.0,1.0,351.0,266.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,6.0
25,BU03630401,Scheepvaarthuisbuurt,720.0,55.0,7.638888888888889,110.0,15.27777777777778,     1.6,   13494,98,2,79.0,9.0,2.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,28.0,1231.0,31/12/9999,102.0,14.0,0.0,2.0,0.0,0.0,7.0,3.0,976.0,22.0,3.0,41.0,29.0,12.0,12.0,0.0,122196.92227315916,487388.7580546318,4.90550709456057,52.37339289239905,1028.0,1193.0,2152.0,464.0,2774.0,7.0,389.0,299.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,6.0
26,BU03630402,Rapenburg,985.0,100.0,10.152284263959393,100.0,10.152284263959393,     1.6,   10734,96,4,203.0,17.0,3.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,55.0,1401.0,31/12/9999,225.0,48.0,0.0,0.0,0.0,1.0,13.0,6.0,101.0,44.0,3.0,15.0,4.0,11.0,18.0,0.0,122477.94949475066,487152.19331496063,4.909656592401575,52.37128352237533,787.0,915.0,1970.0,3113.0,8598.0,42.0,756.0,662.0,11.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,6.0
27,BU03630403,Lastage,1075.0,95.0,8.837209302325581,165.0,15.348837209302326,     1.6,   20438,98,2,156.0,4.0,8.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,133.0,48.0,1345.0,31/12/9999,142.0,42.0,8.0,0.0,0.0,2.0,8.0,4.0,115.0,37.0,1.0,8.0,7.0,1.0,36.0,2.0,122029.53295119049,487412.78430357145,4.9030467815595244,52.37359879804762,978.0,1134.0,1857.0,584.0,3551.0,11.0,828.0,651.0,29.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,6.0
28,BU03630404,Nieuwmarkt,1595.0,120.0,7.523510971786834,450.0,28.213166144200624,     1.5,   26840,100,0,370.0,3.0,16.0,16.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,2.0,333.0,58.0,1635.0,31/12/9999,231.0,214.0,10.0,0.0,0.0,14.0,30.0,15.0,65.0,30.0,3.0,25.0,12.0,13.0,24.0,1.0,121948.84192131148,487192.4334254099,4.901883594311475,52.37161358845082,866.0,1006.0,1781.0,513.0,5356.0,45.0,1209.0,1031.0,17.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,6.0
29,BU03630405,Uilenburg,1230.0,85.0,6.910569105691057,210.0,17.073170731707318,     1.5,   15338,72,28,256.0,3.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,149.0,113.0,1789.0,31/12/9999,182.0,105.0,6.0,0.0,0.0,1.0,41.0,21.0,298.0,24.0,3.0,32.0,18.0,14.0,32.0,0.0,122205.58132166302,487053.6586575493,4.905666952417943,52.37038176238512,641.0,746.0,1876.0,2165.0,20506.0,73.0,900.0,784.0,25.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,6.0
